"Id","Weekly_Sales"
"1_92_2012_11_02",24983.4350696993
"1_29_2012_11_02",17961.1612500814
"1_30_2012_11_02",18072.6259138849
"1_24_2012_11_02",17403.8379310641
"1_23_2012_11_02",17292.3732672607
"1_94_2012_11_02",25206.3643973062
"1_93_2012_11_02",25094.8997335027
"1_25_2012_11_02",17515.3025948676
"1_20_2012_11_02",16957.9792758503
"1_59_2012_11_02",21305.1011641852
"1_55_2012_11_02",20859.2425089713
"1_31_2012_11_02",18184.0905776883
"1_44_2012_11_02",19633.1312071333
"1_99_2012_11_02",25763.6877163235
"1_96_2012_11_02",25429.2937249131
"1_19_2012_11_02",16846.5146120468
"1_6_2012_11_02",15397.4739826019
"1_21_2012_11_02",17069.4439396537
"1_60_2012_11_02",21416.5658279886
"1_48_2012_11_02",20078.9898623471
"1_91_2012_11_02",24871.9704058958
"1_1_2012_11_02",14840.1506635846
"1_90_2012_11_02",24760.5057420924
"1_32_2012_11_02",18295.5552414918
"1_9_2012_11_02",15731.8679740123
"1_7_2012_11_02",15508.9386464053
"1_98_2012_11_02",25652.22305252
"1_97_2012_11_02",25540.7583887166
"1_22_2012_11_02",17180.9086034572
"1_95_2012_11_02",25317.8290611096
"1_38_2012_11_02",18964.3432243125
"1_36_2012_11_02",18741.4138967056
"1_26_2012_11_02",17626.767258671
"1_3_2012_11_02",15063.0799911915
"1_13_2012_11_02",16177.7266292261
"1_58_2012_11_02",21193.6365003817
"1_56_2012_11_02",20970.7071727748
"1_71_2012_11_02",22642.6771298267
"1_8_2012_11_02",15620.4033102088
"1_41_2012_11_02",19298.7372157229
"1_42_2012_11_02",19410.2018795264
"1_49_2012_11_02",20190.4545261506
"1_40_2012_11_02",19187.2725519195
"1_18_2012_11_02",16735.0499482434
"1_67_2012_11_02",22196.8184746128
"1_80_2012_11_02",23645.8591040578
"1_4_2012_11_02",15174.544654995
"1_10_2012_11_02",15843.3326378157
"1_34_2012_11_02",18518.4845690987
"1_33_2012_11_02",18407.0199052952
"1_11_2012_11_02",15954.7973016192
"1_52_2012_11_02",20524.848517561
"1_87_2012_11_02",24426.111750682
"1_37_2012_11_02",18852.8785605091
"1_27_2012_11_02",17738.2319224745
"1_14_2012_11_02",16289.1912930295
"1_72_2012_11_02",22754.1417936301
"1_35_2012_11_02",18629.9492329022
"1_2_2012_11_02",14951.615327388
"1_12_2012_11_02",16066.2619654226
"1_5_2012_11_02",15286.0093187984
"1_16_2012_11_02",16512.1206206365
"1_83_2012_11_02",23980.2530954681
"1_81_2012_11_02",23757.3237678612
"1_28_2012_11_02",17849.696586278
"1_82_2012_11_02",23868.7884316647
"1_46_2012_11_02",19856.0605347402
"1_74_2012_11_02",22977.071121237
"1_79_2012_11_02",23534.3944402543
"1_17_2012_11_02",16623.5852844399
"1_85_2012_11_02",24203.1824230751
"1_29_2012_11_09",19115.4948855627
"1_31_2012_11_09",19338.4242131696
"1_32_2012_11_09",19449.8888769731
"1_96_2012_11_09",26583.6273603944
"1_30_2012_11_09",19226.9595493662
"1_91_2012_11_09",26026.3040413771
"1_93_2012_11_09",26249.233368984
"1_7_2012_11_09",16663.2722818866
"1_6_2012_11_09",16551.8076180832
"1_94_2012_11_09",26360.6980327875
"1_59_2012_11_09",22459.4347996665
"1_44_2012_11_09",20787.4648426146
"1_8_2012_11_09",16774.7369456901
"1_99_2012_11_09",26918.0213518048
"1_55_2012_11_09",22013.5761444526
"1_20_2012_11_09",18112.3129113316
"1_3_2012_11_09",16217.4136266728
"1_98_2012_11_09",26806.5566880013
"1_22_2012_11_09",18335.2422389385
"1_48_2012_11_09",21233.3234978284
"1_71_2012_11_09",23797.010765308
"1_25_2012_11_09",18669.6362303489
"1_90_2012_11_09",25914.8393775737
"1_56_2012_11_09",22125.0408082561
"1_21_2012_11_09",18223.7775751351
