"Id","Weekly_Sales"
"1_1_2012-11-02",30443.0928671329
"1_1_2012-11-09",30443.0928671329
"1_1_2012-11-16",30443.0928671329
"1_1_2012-11-23",6088.61857342657
"1_1_2012-11-30",30443.0928671329
"1_1_2012-12-07",30443.0928671329
"1_1_2012-12-14",30443.0928671329
"1_1_2012-12-21",30443.0928671329
"1_1_2012-12-28",6088.61857342657
"1_1_2013-01-04",30443.0928671329
"1_1_2013-01-11",30443.0928671329
"1_1_2013-01-18",30443.0928671329
"1_1_2013-01-25",30443.0928671329
"1_1_2013-02-01",30443.0928671329
"1_1_2013-02-08",6088.61857342657
"1_1_2013-02-15",30443.0928671329
"1_1_2013-02-22",30443.0928671329
"1_1_2013-03-01",30443.0928671329
"1_1_2013-03-08",30443.0928671329
"1_1_2013-03-15",30443.0928671329
"1_1_2013-03-22",30443.0928671329
"1_1_2013-03-29",30443.0928671329
"1_1_2013-04-05",30443.0928671329
"1_1_2013-04-12",30443.0928671329
"1_1_2013-04-19",30443.0928671329
"1_1_2013-04-26",30443.0928671329
"1_1_2013-05-03",30443.0928671329
"1_1_2013-05-10",30443.0928671329
"1_1_2013-05-17",30443.0928671329
"1_1_2013-05-24",30443.0928671329
"1_1_2013-05-31",30443.0928671329
"1_1_2013-06-07",30443.0928671329
"1_1_2013-06-14",30443.0928671329
"1_1_2013-06-21",30443.0928671329
"1_1_2013-06-28",30443.0928671329
"1_1_2013-07-05",30443.0928671329
"1_1_2013-07-12",30443.0928671329
"1_1_2013-07-19",30443.0928671329
"1_1_2013-07-26",30443.0928671329
"1_2_2012-11-02",59643.5186113886
"1_2_2012-11-09",59643.5186113886
"1_2_2012-11-16",59643.5186113886
"1_2_2012-11-23",11928.7037222777
"1_2_2012-11-30",59643.5186113886
"1_2_2012-12-07",59643.5186113886
"1_2_2012-12-14",59643.5186113886
"1_2_2012-12-21",59643.5186113886
"1_2_2012-12-28",11928.7037222777
"1_2_2013-01-04",59643.5186113886
"1_2_2013-01-11",59643.5186113886
"1_2_2013-01-18",59643.5186113886
"1_2_2013-01-25",59643.5186113886
"1_2_2013-02-01",59643.5186113886
"1_2_2013-02-08",11928.7037222777
"1_2_2013-02-15",59643.5186113886
"1_2_2013-02-22",59643.5186113886
"1_2_2013-03-01",59643.5186113886
"1_2_2013-03-08",59643.5186113886
"1_2_2013-03-15",59643.5186113886
"1_2_2013-03-22",59643.5186113886
"1_2_2013-03-29",59643.5186113886
"1_2_2013-04-05",59643.5186113886
"1_2_2013-04-12",59643.5186113886
"1_2_2013-04-19",59643.5186113886
"1_2_2013-04-26",59643.5186113886
"1_2_2013-05-03",59643.5186113886
"1_2_2013-05-10",59643.5186113886
"1_2_2013-05-17",59643.5186113886
"1_2_2013-05-24",59643.5186113886
"1_2_2013-05-31",59643.5186113886
"1_2_2013-06-07",59643.5186113886
"1_2_2013-06-14",59643.5186113886
"1_2_2013-06-21",59643.5186113886
"1_2_2013-06-28",59643.5186113886
"1_2_2013-07-05",59643.5186113886
"1_2_2013-07-12",59643.5186113886
"1_2_2013-07-19",59643.5186113886
"1_2_2013-07-26",59643.5186113886
"1_3_2012-11-02",13308.7887062362
"1_3_2012-11-09",14303.1223248649
"1_3_2012-11-16",15395.4637855341
"1_3_2012-11-23",3168.6531394207
"1_3_2012-11-30",16180.4186379771
"1_3_2012-12-07",16350.2362567634
"1_3_2012-12-14",16460.8021955127
"1_3_2012-12-21",16521.6431986537
"1_3_2012-12-28",3311.7924308674
"1_3_2013-01-04",16580.2878096888
"1_3_2013-01-11",16593.0465570305
"1_3_2013-01-18",16600.455230493
"1_3_2013-01-25",16604.8414756288
"1_3_2013-02-01",16607.4057850502
"1_3_2013-02-08",3321.78345388808
"1_3_2013-02-15",16609.8034573973
"1_3_2013-02-22",16610.3248313851
"1_3_2013-03-01",16610.6308848072
"1_3_2013-03-08",16610.8108046225
"1_3_2013-03-15",16610.9164739305
"1_3_2013-03-22",16610.9785731798
"1_3_2013-03-29",16611.0150527694
"1_3_2013-04-05",16611.0364879193
"1_3_2013-04-12",16611.0490809335
"1_3_2013-04-19",16611.0564800618
"1_3_2013-04-26",16611.0608271698
"1_3_2013-05-03",16611.0633812848
"1_3_2013-05-10",16611.0648818932
"1_3_2013-05-17",16611.0657635565
"1_3_2013-05-24",16611.06628156
"1_3_2013-05-31",16611.066585905
"1_3_2013-06-07",16611.0667647173
"1_3_2013-06-14",16611.0668697756
"1_3_2013-06-21",16611.0669315006
"1_3_2013-06-28",16611.0669677662
"1_3_2013-07-05",16611.0669890734
"1_3_2013-07-12",16611.067001592
"1_3_2013-07-19",16611.0670089472
"1_3_2013-07-26",16611.0670132685
"1_4_2012-11-02",52199.8788075631
"1_4_2012-11-09",51719.5209240475
"1_4_2012-11-16",34530.2335138522
"1_4_2012-11-23",8733.9309493019
"1_4_2012-11-30",44486.3309686039
"1_4_2012-12-07",48701.6160669954
"1_4_2012-12-14",48701.6160669954
"1_4_2012-12-21",48701.6160669954
"1_4_2012-12-28",9740.32321339909
"1_4_2013-01-04",48701.6160669954
"1_4_2013-01-11",48701.6160669954
"1_4_2013-01-18",48701.6160669954
"1_4_2013-01-25",48701.6160669954
"1_4_2013-02-01",48701.6160669954
"1_4_2013-02-08",9740.32321339909
"1_4_2013-02-15",48701.6160669954
"1_4_2013-02-22",48701.6160669954
"1_4_2013-03-01",48701.6160669954
"1_4_2013-03-08",48701.6160669954
"1_4_2013-03-15",48701.6160669954
"1_4_2013-03-22",48701.6160669954
"1_4_2013-03-29",48701.6160669954
"1_4_2013-04-05",48701.6160669954
"1_4_2013-04-12",48701.6160669954
"1_4_2013-04-19",48701.6160669954
"1_4_2013-04-26",48701.6160669954
"1_4_2013-05-03",48701.6160669954
"1_4_2013-05-10",48701.6160669954
"1_4_2013-05-17",48701.6160669954
"1_4_2013-05-24",48701.6160669954
"1_4_2013-05-31",48701.6160669954
"1_4_2013-06-07",48701.6160669954
"1_4_2013-06-14",48701.6160669954
"1_4_2013-06-21",48701.6160669954
"1_4_2013-06-28",48701.6160669954
"1_4_2013-07-05",48701.6160669954
"1_4_2013-07-12",48701.6160669954
"1_4_2013-07-19",48701.6160669954
"1_4_2013-07-26",48701.6160669954
"1_5_2012-11-02",28663.5668534654
"1_5_2012-11-09",22722.6651948665
"1_5_2012-11-16",6108.44445996175
"1_5_2012-11-23",10109.9587371687
"1_5_2012-11-30",36675.4132150056
"1_5_2012-12-07",36238.8124342949
"1_5_2012-12-14",36238.8124342949
"1_5_2012-12-21",36238.8124342949
"1_5_2012-12-28",7247.76248685897
"1_5_2013-01-04",36238.8124342949
"1_5_2013-01-11",36238.8124342949
"1_5_2013-01-18",36238.8124342949
"1_5_2013-01-25",36238.8124342949
"1_5_2013-02-01",36238.8124342949
"1_5_2013-02-08",7247.76248685897
"1_5_2013-02-15",36238.8124342949
"1_5_2013-02-22",36238.8124342949
"1_5_2013-03-01",36238.8124342949
"1_5_2013-03-08",36238.8124342949
"1_5_2013-03-15",36238.8124342949
"1_5_2013-03-22",36238.8124342949
"1_5_2013-03-29",36238.8124342949
"1_5_2013-04-05",36238.8124342949
"1_5_2013-04-12",36238.8124342949
"1_5_2013-04-19",36238.8124342949
"1_5_2013-04-26",36238.8124342949
"1_5_2013-05-03",36238.8124342949
"1_5_2013-05-10",36238.8124342949
"1_5_2013-05-17",36238.8124342949
"1_5_2013-05-24",36238.8124342949
"1_5_2013-05-31",36238.8124342949
"1_5_2013-06-07",36238.8124342949
"1_5_2013-06-14",36238.8124342949
"1_5_2013-06-21",36238.8124342949
"1_5_2013-06-28",36238.8124342949
"1_5_2013-07-05",36238.8124342949
"1_5_2013-07-12",36238.8124342949
"1_5_2013-07-19",36238.8124342949
"1_5_2013-07-26",36238.8124342949
"1_6_2012-11-02",6010.85211188774
"1_6_2012-11-09",6205.5068234693
"1_6_2012-11-16",6136.1153326608
"1_6_2012-11-23",1215.15845787786
"1_6_2012-11-30",6344.94244437489
"1_6_2012-12-07",7003.31697516208
"1_6_2012-12-14",7054.35257981079
"1_6_2012-12-21",7016.86899404907
"1_6_2012-12-28",1402.67725077837
"1_6_2013-01-04",7132.91852809886
"1_6_2013-01-11",7350.77040051117
"1_6_2013-01-18",7362.09378895637
"1_6_2013-01-25",7345.92666834766
"1_6_2013-02-01",7351.71057780658
"1_6_2013-02-08",1480.25536248228
